,Addendum A.- OPPS APCs for CY 2025,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,
APC,Group Title,SI,Relative Weight,Payment Rate,National Unadjusted Copayment,Minimum Unadjusted Copayment,IRA Coinsurance percentage,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,
0801,"Inj, methylpred sod succ 5mg",K,,$0.268,.,$0.06,,$0.06,,,
0803,Hydroxocobalamin im 10mcg,K,,$0.008,$0.00,$0.01,,$0.01,,,
0804,"Capecitabine, oral, 50 mg",K,,$0.040,.,$0.01,,$0.01,,,
0805,"Hiv prep, inj, cabotegravir",K,,$6.892,.,$1.38,,$1.38,,,
0806,"Hiv prep, ftc/tdf 200/300mg",K,,$1.817,.,$0.37,,$0.37,,,
0807,Aldesleukin injection,K,,"$5,301.260",.,"$1,060.26",,"$1,060.26",,,
0808,"Hiv prep, ftc/taf 200/25mg",K,,$71.289,.,$14.26,,$14.26,,,
0810,Goserelin acetate implant,K,,$703.060,.,$140.62,18.185%,$127.86,,Inflation-Adjusted Coinsurance,
0811,"Inj, nypozi, 1 mcg",G,,$0.535,.,$0.11,,$0.11,,,
0812,Carmustine injection,K,,$255.320,.,$51.07,,$51.07,,,
0813,"Injection, imetelstat, 1 mg",G,,$55.466,.,$11.10,,$11.10,,,
0814,"Inj, magtrace per study dose",G,,"$1,137.959",.,$0.00,,$0.00,,,
0815,"Inj, palonosetron (posfrea)",G,,$59.740,.,$11.95,,$11.95,,,
0816,"Inj, tislelizumab-jsgr",G,,$551.624,.,$110.33,,$110.33,,,
0817,"Inj, adalimumab, 1 mg",K,,$91.725,.,$18.35,,$18.35,,,
0818,"Inj, crovalimab-akkz, 10 mg",K,,$535.903,.,$107.19,,$107.19,,,
0819,"Inj, alyglo, 500 mg",K,,$146.889,.,$29.38,,$29.38,,,
0820,Daunorubicin injection,K,,$23.517,.,$4.71,,$4.71,,,
0822,"Inj, romiplostim 1 microgram",K,,$10.543,.,$2.11,18.772%,$1.98,,Inflation-adjusted coinsurance,
0824,"Inj, exagamglogene autotem",K,,"$2,332,000.000",.,"$466,400.00",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
0825,Nelarabine injection,K,,$74.755,.,$14.96,,$14.96,,,
0826,"Inj adalimumab-fkjp, 1 mg",K,,$87.138,.,$17.43,,$17.43,,,
0827,Floxuridine injection,K,,"$3,989.640",.,$797.93,,$797.93,,,
0828,"Inj adalimumab-aaty, 1 mg",K,,$43.569,.,$8.72,,$8.72,,,
0829,"Inj adalimumab-ryvk, 1 mg",K,,$10.537,.,$2.11,,$2.11,,,
0830,"Inj adalimumab-adbm, 1 mg",K,,$10.434,.,$2.09,,$2.09,,,
0833,"Inj, idacio, 1 mg",K,,$15.019,.,$3.01,,$3.01,,,
0834,"Inj, abrilada, 1 mg",K,,$128.069,.,$25.62,,$25.62,,,
0840,Inj melpha hydroch nos 50 mg,K,,$133.694,.,$26.74,,$26.74,,,
0843,Pegaspargase injection,K,,"$27,070.534",.,"$5,414.11",19.139%,"$1,676.00",,"Inflation-adjusted coinsurance;Copayments capped at inpatient deductible of $1,676.00.",
0844,Pentostatin injection,K,,"$2,732.531",.,$546.51,17.347%,$474.02,,Inflation-Adjusted Coinsurance,
0851,Thiotepa injection,K,,$221.753,.,$44.36,,$44.36,,,
0856,Porfimer sodium injection,K,,"$24,228.420",.,"$4,845.69",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
0858,Inj cladribine,K,,$11.270,.,$2.26,,$2.26,,,
0864,Mitoxantrone hydrochl,K,,$60.819,.,$12.17,,$12.17,,,
0874,Synvisc or synvisc-one,K,,$9.163,.,$1.84,,$1.84,,,
0875,Euflexxa inj per dose,K,,$120.682,.,$24.14,,$24.14,,,
0877,Orthovisc inj per dose,K,,$92.136,.,$18.43,,$18.43,,,
0887,Azathioprine parenteral,K,,$228.968,.,$45.80,,$45.80,,,
0890,Lymphocyte immune globulin,K,,"$4,355.733",.,$871.15,13.043%,$568.12,,Inflation-Adjusted Coinsurance,
0901,Alpha 1 proteinase inhibitor,K,,$5.091,.,$1.02,,$1.02,,,
0902,"Injection,onabotulinumtoxinA",K,,$6.471,.,$1.30,,$1.30,,,
0903,Cytomegalovirus imm IV /vial,K,,"$1,814.108",.,$362.83,,$362.83,,,
0925,Factor viii,K,,$1.117,.,$0.23,,$0.23,,,
0927,Factor viii recombinant,K,,$1.542,.,$0.31,,$0.31,,,
0928,Factor ix complex,K,,$1.655,.,$0.34,,$0.34,,,
0929,Anti-inhibitor,K,,$2.363,.,$0.48,,$0.48,,,
