zip1,zip2,miles_to_zcta5
00650,00602,39.1917208
00602,00652,38.5873440
00652,00602,38.5873440
00602,00653,31.4416896
00653,00602,31.4416896
00602,00656,33.6896061
00656,00602,33.6896061
00602,00659,24.2404154
00659,00602,24.2404154
00602,00660,16.1780043
00660,00602,16.1780043
00602,00662,12.7987304
00662,00602,12.7987304
00602,00664,39.7179988
00664,00602,39.7179988
00602,00667,26.4164977
00667,00602,26.4164977
00602,00669,20.9136591
00669,00602,20.9136591
00602,00670,15.1912138
00670,00602,15.1912138
00602,00674,45.2926333
00674,00602,45.2926333
00602,00676,6.3572044
00676,00602,6.3572044
00602,00677,3.9362086
00677,00602,3.9362086
00602,00678,16.7541322
00678,00602,16.7541322
00602,00680,12.6418479
00680,00602,12.6418479
00602,00682,9.5778363
00682,00602,9.5778363
00602,00683,19.7675073
00683,00602,19.7675073
00602,00685,13.4033224
00685,00602,13.4033224
00602,00687,49.6221597
00687,00602,49.6221597
00602,00688,36.0396863
00688,00602,36.0396863
00602,00690,10.4535098
00690,00602,10.4535098
00602,00692,55.1387703
00692,00602,55.1387703
00602,00693,51.1669609
00693,00602,51.1669609
00602,00694,52.0213272
00694,00602,52.0213272
00602,00698,29.1907953
00698,00602,29.1907953
00602,00703,68.9920806
00703,00602,68.9920806
00602,00704,67.6994779
00704,00602,67.6994779
00602,00705,61.7762527
00705,00602,61.7762527
00602,00707,85.8049978
00707,00602,85.8049978
00602,00714,77.7552827
00714,00602,77.7552827
00602,00715,47.5326441
00715,00602,47.5326441
00602,00716,45.5290491
00716,00602,45.5290491
00602,00717,44.6036364
00717,00602,44.6036364
00602,00718,93.5549701
00718,00602,93.5549701
00602,00719,60.6878756
00719,00602,60.6878756
00602,00720,50.3396585
00720,00602,50.3396585
00602,00723,80.5987119
00723,00602,80.5987119
00602,00725,75.1615892
00725,00602,75.1615892
00602,00727,73.0505158
00727,00602,73.0505158
00602,00728,42.2975240
00728,00602,42.2975240
00602,00729,84.5224199
00729,00602,84.5224199
00602,00730,43.4981974
00730,00602,43.4981974
00602,00731,39.4814784
00731,00602,39.4814784
00602,00735,99.3379315
00735,00602,99.3379315
00602,00736,69.5247248
00736,00602,69.5247248
00602,00738,96.9448719
00738,00602,96.9448719
00602,00739,67.7319241
00739,00602,67.7319241
00602,00741,94.2711565
00741,00602,94.2711565
00602,00745,89.4937347
00745,00602,89.4937347
00602,00751,64.8216402
00751,00602,64.8216402
00602,00754,80.3748745
00754,00602,80.3748745
00602,00757,56.8511161
00757,00602,56.8511161
00602,00766,48.8404134
00766,00602,48.8404134
00602,00767,86.3757498
00767,00602,86.3757498
00602,00769,56.6793830
00769,00602,56.6793830
00602,00771,86.4282580
00771,00602,86.4282580
00602,00772,83.4566495
00772,00602,83.4566495
00602,00773,95.2618161
00773,00602,95.2618161
00602,00777,83.6274057
00777,00602,83.6274057
00602,00778,78.8123507
00778,00602,78.8123507
00602,00780,44.0923578
00780,00602,44.0923578
00602,00782,63.1091576
00782,00602,63.1091576
00602,00783,55.6942467
00783,00602,55.6942467
00602,00784,72.5750878
00784,00602,72.5750878
00602,00786,64.0696891
00786,00602,64.0696891
00602,00791,90.6968639
00791,00602,90.6968639
00602,00794,57.9263226
00794,00602,57.9263226
00602,00795,49.6975837
00795,00602,49.6975837
00602,00901,70.3605940
00901,00602,70.3605940
00602,00906,71.1931245
00906,00602,71.1931245
00602,00907,71.5980853
00907,00602,71.5980853
00602,00909,72.7708193
00909,00602,72.7708193
00602,00911,73.6494879
00911,00602,73.6494879
00602,00912,73.3670773
00912,00602,73.3670773
00602,00913,74.4828677
00913,00602,74.4828677
00602,00915,74.2679352
00915,00602,74.2679352
00602,00917,73.9035639
00917,00602,73.9035639
00602,00918,72.6671560
00918,00602,72.6671560
00602,00920,71.1585913
00920,00602,71.1585913
